word,POS,logfreq,nmorph,ico,fun,fun_perc,ico_perc,diff_rank,logfreq_perc
doubt,Verb,3.50596351801813,1,-0.230769230769231,2.114285714,3,2,5,8
want,Verb,5.14835274020704,1,-0.214285714285714,1.970588235,2,2,4,10
count,Verb,3.66171805769466,1,-0.2,1.84375,1,2,3,9
start,Verb,4.2391993420543,1,-0.181818181818182,2.055555556,3,2,5,10
buy,Verb,3.99189030393602,1,-0.083333333,2.047619048,3,2,5,9
claim,Verb,3.11260500153457,1,-0.0769230769230769,2.4,7,2,9,7
comb,Verb,2.49136169383427,1,-0.066666667,2.416666667,7,3,10,4
find,Verb,4.62716095237478,1,0,2.205882353,4,3,7,10
turn,Verb,4.19398676308569,1,0,2.206896552,4,3,7,10
carry,Verb,3.52659770910345,1,0,1.914285714,2,3,5,8
steal,Verb,3.43472854177976,1,0,1.678571429,1,3,4,8
read,Verb,4.09001102400715,1,0.090909091,2.393939394,7,3,10,10
dance,Verb,3.87800447026803,1,0.153846154,2.612903226,8,3,11,9
trim,Verb,2.34044411484012,1,0.181818181818182,2.225,5,3,8,3
finish,Verb,3.70294724618156,1,0.181818182,2,2,3,5,9
nail,Verb,2.97863694838447,1,0.181818182,2.315789474,6,3,9,6
trust,Verb,3.95846831836694,1,0.2,2.257142857,5,3,8,9
will,Verb,5.03465652646032,1,0.214285714,2.042553191,3,3,6,10
come,Verb,5.20463811249644,1,0.214285714285714,2.444444444,7,3,10,10
cast,Verb,3.07224989761351,1,0.222222222222222,2.212121212,4,3,7,7
invite,Verb,3.17897694729317,1,0.230769230769231,2.166666667,4,4,8,7
drive,Verb,3.89270663780567,1,0.230769231,2.264705882,5,4,9,9
move,Verb,4.32890940487119,1,0.3,2.025,2,4,6,10
whiz,Verb,2.30102999566398,1,0.3,3.612903226,10,4,14,3
die,Verb,4.12447161891949,1,0.333333333333333,1.666666667,1,4,5,10
newt,Verb,1.83884909073726,1,0.333333333333333,2.944444444,10,4,14,1
hunt,Verb,3.12057393120585,1,0.357142857142857,1.909090909,2,4,6,7
fight,Verb,4.01097801217474,1,0.363636363636364,2.090909091,3,4,7,10
think,Verb,5.13755032256453,1,0.363636364,2.142857143,4,4,8,10
collect,Verb,3.00902574208691,1,0.384615384615385,1.787878788,1,4,5,6
