"","word","POS","logfreq","nmorph","ico","fun"
"1342","liver","Noun",2.86332286012046,"1",0.307692307692308,2.34375
"1343","rocket","Noun",2.78175537465247,"1",0.9,2.655172414
"1344","booth","Noun",3.01703333929878,"1",0.0714285714285714,NA
"1345","crystal","Noun",2.91592721169712,"1",NA,2.1875
"1346","rage","Noun",2.76192783842053,"1",NA,1.714285714
"1347","cream","Noun",3.39532639306935,"1",0.214285714285714,NA
"1348","niece","Noun",2.68752896121463,"1",NA,2.03125
"1349","smash","Verb",2.62531245096167,"1",3.5,NA
"1350","beef","Noun",3.00259798071991,"1",NA,2.55
"1351","flip","Verb",2.86272752831797,"1",NA,2.913043478
"1352","plastic","Noun",2.98136550907854,"1",0.307692307692308,2
"1353","soil","Noun",2.59988307207369,"1",0,2.371428571
"1354","grey","Adjective",2.67209785793572,"1",0.692307692307692,NA
"1355","pub","Noun",2.28103336724773,"1",NA,2.892857143
"1356","minor","Adjective",2.81624129999178,"1",NA,1.926829268
"1357","radar","Noun",3.25815819334079,"1",NA,2.235294118
"1358","swallow","Verb",2.81291335664286,"1",NA,2.740740741
"1359","math","Noun",2.92272545799326,"1",NA,2.026315789
"1360","relief","Noun",2.87215627274829,"1",1.38461538461538,2.551724138
"1361","menu","Noun",2.70671778233676,"1",-1.36363636363636,2
"1362","sail","Verb",2.84633711212981,"1",1.54545454545455,NA
"1363","pro","Noun",2.85913829729453,"1",NA,2.3
"1364","item","Noun",2.79865064544527,"1",-0.181818181818182,2.3125
"1365","extreme","Adjective",2.74741180788642,"1",1.06666666666667,2.222222222
"1366","whip","Verb",2.82736927305383,"1",3.1,2.857142857
"1367","bucket","Noun",2.70926996097583,"1",-0.529411765,NA
"1368","cable","Noun",3.04493154614916,"1",NA,2.107142857
"1369","branch","Noun",2.71180722904119,"1",0.571428571428571,2.275862069
"1370","booze","Noun",2.74741180788642,"1",NA,3
"1371","twist","Noun",2.80888586735981,"1",2.8,2.323529412
"1372","dessert","Noun",2.85491302230786,"1",NA,2.52173913
"1373","bid","Verb",2.80821097292422,"1",NA,2.037037037
"1374","muscle","Noun",2.84198480459011,"1",-0.153846153846154,NA
